group,any_search_results,session_length
b,True,0.0
b,True,303.0
b,True,435.0
a,True,58.0
b,True,0.0
a,True,43.0
b,True,0.0
b,False,0.0
a,True,339.0
b,False,0.0
b,True,0.0
b,True,0.0
b,True,0.0
b,True,0.0
b,True,444.0
b,False,0.0
a,True,112.0
a,True,213.0
a,True,163.0
b,True,0.0
b,True,3.0
b,False,0.0
a,True,56.0
b,True,0.0
a,True,443.0
b,True,37.0
b,False,0.0
b,True,0.0
b,True,439.0
b,True,0.0
b,True,0.0
b,True,172.0
b,True,20.0
b,False,0.0
b,True,11.0
b,True,0.0
a,True,84.0
b,False,0.0
a,True,42.0
b,True,0.0
a,True,197.0
a,True,425.0
b,True,0.0
b,True,14.0
b,True,56.0
a,False,128.0
a,True,4.0
a,True,34.0
b,True,0.0
a,True,607.0
a,True,115.0
b,False,0.0
b,True,0.0
b,True,0.0
b,True,34.0
b,True,30.0
a,True,17.0
b,True,0.0
b,True,0.0
a,True,91.0
b,True,427.0
a,True,420.0
b,True,0.0
b,True,94.0
a,True,420.0
b,True,424.0
b,True,42.0
a,True,115.0
b,True,0.0
a,True,966.0
b,True,35.0
b,True,62.0
b,True,0.0
b,True,0.0
b,True,49.0
a,True,263.0
b,True,90.0
a,True,447.0
b,True,0.0
b,True,0.0
b,True,95.0
b,True,0.0
b,True,0.0
a,True,217.0
b,True,0.0
b,False,0.0
b,True,0.0
a,True,1018.0
b,True,0.0
b,False,0.0
b,True,25.0
a,True,64.0
b,True,0.0
a,True,456.0
b,False,0.0
a,True,52.0
a,True,562.0
a,True,450.0
a,True,189.0
b,True,0.0
b,True,215.0
b,True,25.0
b,True,0.0
b,False,40.0
a,True,56.0
b,True,163.0
a,True,156.0
a,True,65.0
b,True,0.0
b,True,0.0
a,True,1218.0
b,True,0.0
b,True,435.0
b,True,0.0
b,False,0.0
a,True,593.0
b,True,0.0
b,True,0.0
a,True,113.0
a,True,13.0
b,False,0.0
b,True,6.0
a,True,43.0
a,False,20.0
a,False,174.0
b,True,0.0
b,True,16.0
